vehicleId,vehicleNumber,type,capacity,status,assignedDriver
"VH-RAJ-001","KA02CD5678","Mini Truck","4","active","DRV-100001"
"VH234567","KA02MN3456","mini_bus","[object Object]","active","[object Object]"
"VH234568","KA05PQ7890","mini_bus","[object Object]","active","[object Object]"
"VH234569","KA01RS4567","VAN","[object Object]","active","[object Object]"
"VH234570","KA03TU8901","VAN","[object Object]","active","[object Object]"
"VH234571","KA04VW2345","bus","[object Object]","active","[object Object]"
"VH234572","KA06XY6789","bus","[object Object]","active","[object Object]"
"VH234573","KA02AB1234","SUV","[object Object]","active","[object Object]"
"VH234574","KA05CD5678","SUV","[object Object]","active","[object Object]"
"VH234575","KA01EF9012","car","[object Object]","active","[object Object]"
"VH234576","KA03GH3456","car","[object Object]","active","[object Object]"
"VH234577","KA07JK1234","mini_bus","[object Object]","active","[object Object]"
"VH234578","KA08LM5678","mini_bus","[object Object]","active","[object Object]"
"VH234579","KA09NO9012","mini_bus","[object Object]","active","[object Object]"
"VH234580","KA10PQ3456","VAN","[object Object]","active","[object Object]"
"VH234581","KA11RS7890","VAN","[object Object]","active","[object Object]"
"VH234582","KA12TU1234","VAN","[object Object]","active","[object Object]"
"VH234583","KA13VW5678","bus","[object Object]","active","[object Object]"
"VH234584","KA14XY9012","bus","[object Object]","active","[object Object]"
"VH234585","KA15ZA3456","bus","[object Object]","active","[object Object]"
"VH234586","KA16BC7890","SUV","[object Object]","active","[object Object]"
"VH234587","KA17DE1234","SUV","[object Object]","active","[object Object]"
"VH234588","KA18FG5678","SUV","[object Object]","ACTIVE","[object Object]"
"VH234589","KA19HI9012","SUV","[object Object]","ACTIVE","[object Object]"
"VH234590","KA20JK3456","car","[object Object]","ACTIVE","[object Object]"
"VH234591","KA21LM7890","car","[object Object]","ACTIVE","[object Object]"
"VH234592","KA22NO1234","car","[object Object]","ACTIVE","[object Object]"
"VH234593","KA23PQ5678","car","[object Object]","active","[object Object]"
"VH234594","KA24RS9012","car","[object Object]","ACTIVE","DRV-100003"
"VH234595","KA25TU3456","car","[object Object]","active","[object Object]"
"VH234596","KA26VW7890","car","[object Object]","active","[object Object]"
"VH123456","KA01AB1234","van","[object Object]","active",""
"VH345678","KA03EF9012","mini_bus","[object Object]","active",""
